aaload,32
aastore,53
aconst_null,1
aload,19
aload_0,2a
aload_1,2b
aload_2,2c
aload_3,2d
anewarray,bd
areturn,b0
arraylength,be
astore,3a
astore_0,4b
astore_1,4c
astore_2,4d
astore_3,4e
athrow,bf
baload,33
bastore,54
bipush,10
breakpoint,ca
caload,34
castore,55
checkcast,c0
d2f,90
d2i,8e
d2l,8f
dadd,63
daload,31
dastore,52
dcmpg,98
dcmpl,97
dconst_0,0e
dconst_1,0f
ddiv,6f
dload,18
dload_0,26
dload_1,27
dload_2,28
dload_3,29
dmul,6b
dneg,77
drem,73
dreturn,af
dstore,39
dstore_0,47
dstore_1,48
dstore_2,49
dstore_3,4a
dsub,67
dup,59
dup_x1,5a
dup_x2,5b
dup2,5c
dup2_x1,5d
dup2_x2,5e
f2d,8d
f2i,8b
f2l,8c
fadd,62
faload,30
fastore,51
fcmpg,96
fcmpl,95
fconst_0,0b
fconst_1,0c
fconst_2,0d
fdiv,6e
fload,17
fload_0,22
fload_1,23
fload_2,24
fload_3,25
fmul,6a
fneg,76
frem,72
freturn,ae
fstore,38
fstore_0,43
fstore_1,44
fstore_2,45
fstore_3,46
fsub,66
getfield,b4
getstatic,b2
goto,a7
goto_w,c8
i2b,91
i2c,92
i2d,87
i2f,86
i2l,85
i2s,93
iadd,60
iaload,2e
iand,7e
iastore,4f
iconst_m1,2
iconst_0,3
iconst_1,4
iconst_2,5
iconst_3,6
iconst_4,7
iconst_5,8
idiv,6c
if_acmpeq,a5
if_acmpne,a6
if_icmpeq,9f
if_icmpge,a2
if_icmpgt,a3
if_icmple,a4
if_icmplt,a1
if_icmpne,a0
ifeq,99
ifge,9c
ifgt,9d
ifle,9e
iflt,9b
ifne,9a
ifnonnull,c7
ifnull,c6
iinc,84
iload,15
iload_0,1a
iload_1,1b
iload_2,1c
iload_3,1d
impdep1,fe
impdep2,ff
imul,68
ineg,74
instanceof,c1
invokedynamic,ba
invokeinterface,b9
invokespecial,b7
invokestatic,b8
invokevirtual,b6
ior,80
irem,70
ireturn,ac
ishl,78
ishr,7a
istore,36
istore_0,3b
istore_1,3c
istore_2,3d
istore_3,3e
isub,64
iushr,7c
ixor,82
jsr,a8
jsr_w,c9
l2d,8a
l2f,89
l2i,88
ladd,61
laload,2f
land,7f
lastore,50
lcmp,94
lconst_0,9
lconst_1,0a
ldc,12
ldc_w,13
ldc2_w,14
ldiv,6d
lload,16
lload_0,1e
lload_1,1f
lload_2,20
lload_3,21
lmul,69
lneg,75
lookupswitch,ab
lor,81
lrem,71
lreturn,ad
lshl,79
lshr,7b
lstore,37
lstore_0,3f
lstore_1,40
lstore_2,41
lstore_3,42
lsub,65
lushr,7d
lxor,83
monitorenter,c2
monitorexit,c3
multianewarray,c5
new,bb
newarray,bc
nop,0
pop,57
pop2,58
putfield,b5
putstatic,b3
ret,a9
return,b1
saload,35
sastore,56
sipush,11
swap,5f
tableswitch,aa
wide,c4
